Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
Our Son,2023-12-08,3.0,11,Bill Oliver,1 h 44 m,Crime
Somebody Up There Likes Me,2013-03-08,5.8,6,Bob Byington,1 h 16 m,Comedy
The Equalizer 3,2023-09-01,7.0,166,Antoine Fuqua,1 h 49 m,Action
Hope Gap,2020-03-06,6.5,11,William Nicholson,1 h 40 m,Drama
The Hobbit: An Unexpected Journey,2012-12-14,7.9,3056,Peter Jackson,2 h 49 m,Adventure
Southbound,2016-02-05,6.0,50,"Roxanne Benjamin 
    
      Matt Bettinelli-Olpin 
    
      David Bruckner 
    
      Tyler Gillett",1 h 29 m,Horror
The Finest Hours,2016-01-29,6.8,147,Craig Gillespie,1 h 57 m,Action
Shrek the Third,2007-05-18,6.3,488,"Chris Miller 
    
      Raman Hui",1 h 33 m,Animation
Riddle of Fire,2024-03-22,7.0,6,Weston Razooli,1 h 53 m,Action
Somm,2013-06-21,7.5,6,Jason Wise,1 h 34 m,Documentary
The Trust,2016-05-13,5.4,30,"Alex Brewer 
    
      Benjamin Brewer",1 h 32 m,Action
Green Card,1991-01-11,7.1,44,Peter Weir,1 h 43 m,Comedy
Explorers,1985-07-12,6.9,16,Joe Dante,1 h 49 m,Adventure
The Hummingbird Project,2019-03-15,6.1,29,Kim Nguyen,1 h 51 m,Drama
J.S.A.: Joint Security Area,2005-06-15,7.6,48,Park Chan-wook,1 h 50 m,Action
The Tree,2011-07-15,6.0,7,Julie Bertuccelli,1 h 40 m,Drama
The Seagull,2018-05-11,5.9,23,Michael Mayer,1 h 38 m,Comedy
City of Ember,2008-10-10,6.4,60,Gil Kenan,1 h 30 m,Adventure
The Night Before,2015-11-20,6.3,140,Jonathan Levine,1 h 41 m,Comedy
Hotel Artemis,2018-06-08,5.5,104,Drew Pearce,1 h 34 m,Action
Kiss of the Dragon,2001-07-06,8.1,99,Chris Nahon,1 h 38 m,Action
Undisputed,2002-08-23,6.2,28,Walter Hill,1 h 34 m,Action
Blue Bayou,2021-09-17,6.8,25,Justin Chon,1 h 59 m,Drama
American Pie,1999-07-09,4.0,650,"Paul Weitz 
    
      Chris Weitz",1 h 35 m,Comedy
May,2003-02-07,1.3,237,Lucky McKee,1 h 33 m,Drama
Ocean's Twelve,2004-12-10,7.1,307,Steven Soderbergh,2 h 5 m,Crime
Star Wars: Episode VI - Return of the Jedi,1983-05-25,8.4,1992,Richard Marquand,2 h 14 m,Action
Freakonomics,2010-10-01,7.4,40,"Heidi Ewing 
    
      Alex Gibney 
    
      Seth Gordon 
    
      Rachel Grady",1 h 33 m,Documentary
Away We Go,2009-06-05,7.0,49,Sam Mendes,1 h 38 m,Comedy
Heartless,2010-11-19,5.3,16,Philip Ridley,1 h 54 m,Drama
Fading Gigolo,2014-04-18,5.9,37,John Turturro,1 h 30 m,Comedy
Sex and Zen,1993-08-13,6.0,4,Michael Mak,1 h 39 m,Comedy
Escape from Tomorrow,2013-10-11,4.8,31,Randy Moore,1 h 30 m,Comedy
The Greasy Strangler,2016-10-07,5.8,12,Jim Hosking,1 h 33 m,Comedy
Glory Road,2006-01-13,7.8,23,James Gartner,1 h 58 m,Biography
Gemma Bovery,2015-05-29,6.4,11,Anne Fontaine,1 h 39 m,Comedy
9 to 5,1980-12-19,7.1,19,Colin Higgins,1 h 49 m,Comedy
Flash Gordon,1980-12-05,6.8,50,Mike Hodges,1 h 51 m,Action
The One and Only Ivan,2020-08-21,7.3,34,Thea Sharrock,1 h 35 m,Adventure
No Place on Earth,2013-03-22,6.8,6,Janet Tobias,1 h 23 m,Documentary
Papillon,1973-12-16,6.4,59,Michael Noer,2 h 13 m,Adventure
Papillon,2018-08-24,6.4,59,Michael Noer,2 h 13 m,Adventure
Magnum Force,1973-12-25,7.1,31,Ted Post,2 h 4 m,Action
Monday,2021-04-16,6.5,15,Argyris Papadimitropoulos,1 h 56 m,Drama
Low Down,2014-10-24,7.0,7,Jeff Preiss,1 h 54 m,Biography
A Royal Night Out,2015-12-04,6.2,13,Julian Jarrold,1 h 37 m,Comedy
The Indian in the Cupboard,1995-07-14,6.8,12,Frank Oz,1 h 36 m,Drama
Let's Scare Jessica to Death,1971-08-27,5.2,5,John D. Hancock,1 h 29 m,Drama
Star Trek III: The Search for Spock,1984-06-01,6.5,113,Leonard Nimoy,1 h 45 m,Action
Everything Is Illuminated,2005-09-16,7.7,35,Liev Schreiber,1 h 46 m,Comedy
Stone,2010-10-08,8.7,189,John Curran,1 h 45 m,Action
Indiana Jones and the Dial of Destiny,2023-06-30,4.5,694,James Mangold,2 h 22 m,Action
Felon,2008-07-18,6.6,32,Ric Roman Waugh,1 h 44 m,Crime
The Invention of Lying,2009-10-02,6.2,83,"Ricky Gervais 
    
      Matthew Robinson",1 h 39 m,Comedy
The Way of the Dragon,1972-08-14,6.7,17,Bruce Lee,1 h 40 m,Action
The Pope of Greenwich Village,1984-06-22,6.8,5,Stuart Rosenberg,2 h 1 m,Action
Death Race 2000,1975-04-27,6.6,16,Paul Bartel,1 h 20 m,Action
The Yards,2000-10-20,8.0,43,James Gray,1 h 55 m,Crime
The Lords of Salem,2013-04-19,5.5,67,Rob Zombie,1 h 41 m,Horror
Renaissance,2006-09-22,8.1,48,Christian Volckman,1 h 45 m,Animation
Wayne's World,1992-02-14,8.4,191,Penelope Spheeris,1 h 34 m,Comedy
All Good Things,2010-12-03,7.6,108,Andrew Jarecki,2 h,Crime
Crank,2006-09-01,4.0,286,"Mark Neveldine 
    
      Brian Taylor",1 h 28 m,Action
Special,2008-11-21,7.7,44,"Hal Haberman 
    
      Jeremy Passmore",1 h 21 m,Comedy
Summer of 84,2018-08-10,6.5,84,"François Simard 
    
      Anouk Whissell 
    
      Yoann-Karl Whissell",1 h 45 m,Horror
Keeping Up with the Steins,2006-05-12,7.1,7,Scott Marshall,1 h 30 m,Comedy
It's a Disaster,2013-04-12,6.8,21,Todd Berger,1 h 28 m,Comedy
Flawless,2008-03-28,7.0,19,Michael Radford,1 h 48 m,Crime
Flawless,1999-11-24,7.0,19,Michael Radford,1 h 48 m,Crime
Daybreakers,2010-01-08,6.8,180,"Michael Spierig 
    
      Peter Spierig",1 h 38 m,Action
Trishna,2012-07-13,6.7,7,Michael Winterbottom,1 h 57 m,Drama
The Book of Clarence,2024-01-12,6.2,38,Jeymes Samuel,2 h 16 m,Adventure
Lila Says,2005-06-24,6.3,4,Ziad Doueiri,1 h 29 m,Crime
The Cured,2018-02-23,6.1,18,David Freyne,1 h 35 m,Drama
R100,2015-01-23,6.0,7,Hitoshi Matsumoto,1 h 39 m,Comedy
Pet Sematary,2019-04-05,5.2,107,Mary Lambert,1 h 43 m,Fantasy
Pet Sematary,1989-04-21,5.2,107,Mary Lambert,1 h 43 m,Fantasy
Armstrong,2019-07-12,7.3,6,David Fairhead,1 h 40 m,Documentary
Indiana Jones and the Temple of Doom,1984-05-23,7.7,524,Steven Spielberg,1 h 58 m,Action
Paul,2011-03-18,7.0,431,Greg Mottola,1 h 44 m,Adventure
Bart Got a Room,2009-04-03,6.4,8,Brian Hecker,1 h 20 m,Comedy
Holy Smoke,1999-12-03,8.0,21,Jane Campion,1 h 55 m,Comedy
Osmosis Jones,2001-08-10,6.2,65,"Bobby Farrelly 
    
      Peter Farrelly",1 h 35 m,Animation
The Ring,2002-10-18,4.5,424,Gore Verbinski,1 h 55 m,Horror
The Laundromat,2019-09-27,5.6,72,Steven Soderbergh,1 h 35 m,Comedy
The Zookeeper's Wife,2017-03-31,7.0,88,Niki Caro,2 h 7 m,Biography
Last Letter from Your Lover,2021-07-23,5.5,13,Augustine Frizzell,1 h 50 m,Drama
Birds of Paradise,2021-09-24,4.7,7,Sarah Adina Smith,1 h 53 m,Drama
Ip Man 3,2016-01-22,7.0,96,Wilson Yip,1 h 45 m,Action
The Thing,1982-06-25,6.3,324,Matthijs van Heijningen Jr.,1 h 43 m,Horror
The Thing,2011-10-14,6.3,324,Matthijs van Heijningen Jr.,1 h 43 m,Horror
Small Engine Repair,2021-09-10,6.0,10,John Pollono,1 h 42 m,Crime
Born in China,2017-04-21,6.1,17,Chuan Lu,1 h 19 m,Documentary
I Came By,2022-08-31,5.0,29,Babak Anvari,1 h 50 m,Thriller
The Woman in the Fifth,2012-06-15,4.0,7,Pawel Pawlikowski,1 h 25 m,Drama
The World Is Not Enough,1999-11-19,6.9,210,Michael Apted,2 h 8 m,Action
The Disappearance of Eleanor Rigby: Them,2014-09-12,6.1,41,Ned Benson,2 h 3 m,Drama
Ragtime,1981-11-20,6.1,13,Milos Forman,2 h 35 m,Drama
Field of Dreams,1989-04-21,8.2,147,Phil Alden Robinson,1 h 47 m,Drama
"A Woman, a Gun and a Noodle Shop",2010-09-03,6.1,12,Yimou Zhang,1 h 35 m,Comedy
The Hole,2012-09-28,6.4,15,Joe Dante,1 h 32 m,Fantasy
Flicka,2006-10-20,6.2,6,Michael Mayer,1 h 35 m,Adventure
Vamps,2012-11-02,6.7,21,Amy Heckerling,1 h 32 m,Comedy
Bram Stoker's Dracula,1992-11-13,8.2,385,Francis Ford Coppola,2 h 8 m,Fantasy
Lisa Picard Is Famous,2001-08-22,2.2,5,Griffin Dunne,1 h 30 m,Comedy
Spy Kids 3-D: Game Over,2003-07-25,5.7,104,Robert Rodriguez,1 h 24 m,Action
The Intouchables,2012-05-25,8.2,528,"Olivier Nakache 
    
      Éric Toledano",1 h 52 m,Comedy
Life Partners,2014-12-05,5.7,15,Susanna Fogel,1 h 33 m,Comedy
Thor,2011-05-06,7.0,2078,Kenneth Branagh,1 h 54 m,Action
Permanent Midnight,1998-09-16,7.6,7,David Veloz,1 h 28 m,Biography
The Wandering Earth,2019-02-08,5.3,83,Frant Gwo,2 h 5 m,Action
Body of Lies,2008-10-10,6.8,145,Ridley Scott,2 h 8 m,Action
The Wedding Guest,2019-03-01,5.6,10,Michael Winterbottom,1 h 37 m,Action
Towelhead,2008-09-12,6.5,10,Alan Ball,2 h 4 m,Drama
Antlers,2021-10-29,5.6,80,Scott Cooper,1 h 39 m,Drama
The Notebook,2014-08-29,8.4,467,Nick Cassavetes,2 h 3 m,Drama
The Notebook,2004-06-25,8.4,467,Nick Cassavetes,2 h 3 m,Drama
Teeth,2008-01-18,5.4,55,Mitchell Lichtenstein,1 h 34 m,Comedy
Road House,2024-03-21,6.8,47,Rowdy Herrington,1 h 54 m,Action
Road House,1989-05-19,6.8,47,Rowdy Herrington,1 h 54 m,Action
The Grand Seduction,2014-05-30,6.9,22,Don McKellar,1 h 53 m,Comedy
Space Jam,1996-11-15,7.1,187,Joe Pytka,1 h 28 m,Animation
The Groomsmen,2006-07-14,5.5,4,Edward Burns,1 h 38 m,Comedy
Adult Beginners,2015-04-24,6.4,16,Ross Katz,1 h 32 m,Comedy
Scent of a Woman,1992-12-23,8.4,293,Martin Brest,2 h 37 m,Drama
16 Years of Alcohol,2005-03-18,3.3,4,Richard Jobson,1 h 42 m,Crime
Happy Endings,2005-07-15,7.2,14,Don Roos,2 h 8 m,Comedy
Filly Brown,2013-04-19,7.6,5,"Youssef Delara 
    
      Michael D. Olmos",1 h 20 m,Drama
Break Point,2015-09-04,4.0,6,Jay Karas,1 h 30 m,Comedy
The Missing Person,2009-11-20,6.8,4,Noah Buschel,1 h 35 m,Drama
Up in Smoke,1978-09-15,7.9,14,"Lou Adler 
    
      Tommy Chong",1 h 26 m,Comedy
Kodachrome,2018-04-20,7.4,26,Mark Raso,1 h 45 m,Drama
Heaven's Gate,1980-11-19,6.5,10,Michael Cimino,5 h 25 m,Adventure
Encounter,2021-12-03,4.6,20,Michael Pearce,1 h 48 m,Drama
The Boys Are Back,2009-09-25,4.9,16,Scott Hicks,1 h 44 m,Drama
The Red Violin,1999-06-11,7.6,21,François Girard,2 h 11 m,Drama
Mr 3000,2004-09-17,7.4,35,Charles Stone III,1 h 44 m,Comedy
13 Going on 30,2004-04-23,7.9,257,Gary Winick,1 h 38 m,Comedy
Whiskey Tango Foxtrot,2016-03-04,6.5,93,"Glenn Ficarra 
    
      John Requa",1 h 52 m,Biography
Fifty Dead Men Walking,2009-08-21,7.0,9,Kari Skogland,1 h 57 m,Crime
Chemical Hearts,2020-08-21,8.1,74,Richard Tanne,1 h 33 m,Drama
The Broken Hearts Gallery,2020-09-11,7.9,60,Natalie Krinsky,1 h 49 m,Comedy
Army of the Dead,2021-05-14,5.9,763,Zack Snyder,2 h 28 m,Action
How I Live Now,2013-11-08,6.8,43,Kevin Macdonald,1 h 41 m,Action
Kinky Boots,2006-04-14,6.4,18,Julian Jarrold,1 h 47 m,Comedy
Our Kind of Traitor,2016-07-01,6.3,42,Susanna White,1 h 48 m,Action
Archenemy,2020-12-11,6.1,15,Adam Egypt Mortimer,1 h 30 m,Action
Arcadian,2024-04-12,5.6,27,Benjamin Brewer,1 h 32 m,Action
Brainstorm,1983-09-30,8.4,5,Douglas Trumbull,1 h 46 m,Sci-Fi
Smart People,2008-04-11,6.7,17,Noam Murro,1 h 35 m,Comedy
Candy,2006-11-17,7.0,30,Neil Armfield,1 h 48 m,Drama
Bad Words,2014-03-14,6.4,137,Jason Bateman,1 h 29 m,Comedy
Natural Selection,2012-03-16,6.3,7,Robbie Pickering,1 h 30 m,Adventure
Uncle Drew,2018-06-29,6.3,28,Charles Stone III,1 h 43 m,Comedy
Katy Perry: Part of Me,2012-07-05,7.3,469,"Dan Cutforth 
    
      Jane Lipsitz",1 h 33 m,Documentary
Victory,1981-07-31,8.2,17,John Huston,1 h 56 m,Drama
The Look of Love,2013-07-05,5.1,8,Michael Winterbottom,1 h 41 m,Biography
The Newton Boys,1998-03-27,7.0,12,Richard Linklater,1 h 53 m,Action
The Forbidden Kingdom,2008-04-18,6.4,64,Rob Minkoff,1 h 44 m,Action
Albert Nobbs,2011-12-21,6.3,61,Rodrigo García,1 h 53 m,Drama
Simple Passion,2022-01-21,5.2,5,Danielle Arbid,1 h 39 m,Drama
Rocky III,1982-05-28,7.5,115,Sylvester Stallone,1 h 39 m,Drama
The Human Stain,2003-10-31,8.8,46,Robert Benton,1 h 46 m,Drama
All Together,2012-10-19,5.4,5,Stéphane Robelin,1 h 36 m,Comedy
Chimpanzee,2012-04-20,6.6,32,"Alastair Fothergill 
    
      Mark Linfield",1 h 18 m,Documentary
Teen Spirit,2019-04-12,5.5,24,Max Minghella,1 h 33 m,Drama
Instant Family,2018-11-16,7.3,129,Sean Anders,1 h 58 m,Comedy
Extraction 2,2023-06-16,7.0,128,Sam Hargrave,2 h 2 m,Action
Land of Bad,2024-02-16,5.2,49,William Eubank,1 h 50 m,Action
Happy Death Day 2U,2019-02-14,6.3,194,Christopher Landon,1 h 40 m,Comedy
The Secret Life of Bees,2008-10-17,6.1,23,Gina Prince-Bythewood,1 h 54 m,Drama
Miss Peregrine's Home for Peculiar Children,2016-09-30,6.7,357,Tim Burton,2 h 7 m,Adventure
Miss Potter,2006-12-29,7.1,11,Chris Noonan,1 h 32 m,Biography
Piranhas,2019-08-02,7.0,8,Claudio Giovannesi,1 h 45 m,Crime
The Best of Times,1986-01-31,3.3,4,Roger Spottiswoode,1 h 44 m,Comedy
"Lovely, Still",2010-09-10,9.3,88,Nik Fackler,1 h 32 m,Drama
Easy Money: Hard to Kill,2014-02-14,5.0,7,"Babak Najafi 
    
      Phillip Argeadson",1 h 39 m,Action
The Hammer,2008-03-21,5.9,12,Charles Herman-Wurmfeld,1 h 28 m,Comedy
The First Monday in May,2016-04-15,7.0,5,Andrew Rossi,1 h 30 m,Documentary
Evil Dead,2013-04-05,7.3,679,Fede Alvarez,1 h 31 m,Horror
In the Name of My Daughter,2015-05-08,5.0,4,André Téchiné,1 h 56 m,Crime
Thor: Love and Thunder,2022-07-08,4.7,1124,Taika Waititi,1 h 58 m,Action
Madagascar,2005-05-27,7.0,351,"Eric Darnell 
    
      Tom McGrath",1 h 26 m,Animation
The Burnt Orange Heresy,2020-03-06,6.1,16,Giuseppe Capotondi,1 h 39 m,Drama
Daydream Nation,2011-05-06,6.8,17,Michael Goldbach,1 h 36 m,Drama
Yat luk che,2005-07-27,4.7,6,Kam-Hung Yip,1 h 44 m,Comedy
Sixty Six,2008-08-01,6.5,4,Paul Weiland,1 h 33 m,Biography
Lowriders,2017-05-12,6.5,6,Ricardo de Montreuil,1 h 39 m,Adventure
Band of Robbers,2016-01-15,6.7,24,"Aaron Nee 
    
      Adam Nee",1 h 35 m,Adventure
The Maze Runner,2014-09-19,6.8,701,Wes Ball,1 h 53 m,Action
Prince of Broadway,2010-09-03,6.3,4,Sean Baker,1 h 40 m,Drama
Titus,1999-12-25,5.8,16,Julie Taymor,2 h 42 m,Drama
My Life Without Me,2003-09-26,7.6,46,Isabel Coixet,1 h 46 m,Drama
Amen.,2003-01-24,7.2,12,Costa-Gavras,2 h 12 m,Biography
Hannibal,2001-02-09,7.1,270,Ridley Scott,2 h 11 m,Crime
Code 46,2004-08-06,5.3,15,Michael Winterbottom,1 h 33 m,Drama
The Flying Swords of Dragon Gate,2012-08-31,7.1,8,Hark Tsui,2 h 2 m,Action
Iron Man 2,2010-05-07,6.4,1482,Jon Favreau,2 h 4 m,Action
Our Friend,2021-01-22,6.6,16,Gabriela Cowperthwaite,2 h 4 m,Drama
The Muse,1999-08-27,7.6,14,Albert Brooks,1 h 37 m,Comedy
Baby Ruby,2023-02-03,5.7,7,Bess Wohl,1 h 29 m,Drama
John Rabe,2010-05-21,7.8,8,Florian Gallenberger,2 h 14 m,Biography
Barbarians,2022-04-01,5.0,6,Charles Dorfman,1 h 31 m,Crime
Cars 2,2011-06-24,6.3,799,"John Lasseter 
    
      Bradford Lewis",1 h 53 m,Animation
Journey to the Center of the Earth,2008-07-11,5.7,110,Eric Brevig,1 h 33 m,Action
France,2021-12-10,5.4,12,Bruno Dumont,2 h 13 m,Comedy
Hatchet,2007-09-07,7.7,73,Adam Green,1 h 25 m,Comedy
Cirkus Columbia,2012-02-17,4.5,4,Danis Tanovic,1 h 53 m,Comedy
Toast,2011-09-23,5.3,19,S.J. Clarkson,1 h 36 m,Biography
Right at Your Door,2007-08-24,6.4,17,Chris Gorak,1 h 36 m,Drama
Cold Pursuit,2019-02-08,6.0,159,Hans Petter Moland,1 h 59 m,Action
The House with a Clock in Its Walls,2018-09-21,5.8,119,Eli Roth,1 h 45 m,Comedy
Generation War,2014-01-15,7.4,50,Philipp Kadelbach,4 h 30 m,Action
Robin Hood,1973-11-08,6.3,264,Ridley Scott,2 h 20 m,Action
Robin Hood,2010-05-14,6.3,264,Ridley Scott,2 h 20 m,Action
Robin Hood,2018-11-21,6.3,264,Ridley Scott,2 h 20 m,Action
Strangers with Candy,2006-06-28,7.2,5,Paul Dinello,1 h 37 m,Comedy
Club Zero,2024-03-15,4.2,6,Jessica Hausner,1 h 50 m,Comedy
Dog Pound,2013-03-29,7.0,14,Kim Chapiron,1 h 31 m,Crime
The Addams Family,1991-11-22,7.2,91,Barry Sonnenfeld,1 h 39 m,Comedy
The Addams Family,2019-10-11,7.2,91,Barry Sonnenfeld,1 h 39 m,Comedy
First Knight,1995-07-07,7.1,22,Jerry Zucker,2 h 14 m,Action
Charlie Says,2019-05-10,4.1,20,Mary Harron,1 h 50 m,Biography
The Santa Clause,1994-11-11,7.3,103,John Pasquin,1 h 37 m,Comedy
Bubba Ho-tep,2003-09-26,7.4,36,Don Coscarelli,1 h 32 m,Comedy
Ordinary Angels,2024-02-23,7.1,21,Jon Gunn,1 h 58 m,Drama
The Killer Elite,1975-12-19,5.8,150,Gary McKendry,1 h 40 m,Action
Snow White and the Huntsman,2012-06-01,6.1,589,Rupert Sanders,2 h 7 m,Action
Black Sunday,1977-03-11,5.7,6,John Frankenheimer,2 h 23 m,Adventure
Finch,2021-11-05,6.8,120,Miguel Sapochnik,1 h 55 m,Adventure
Coach Carter,2005-01-14,7.6,89,Thomas Carter,2 h 16 m,Biography
How It Ends,2021-07-20,3.8,80,David M. Rosenthal,1 h 53 m,Action
"1,000 Times Good Night",2014-10-24,6.8,8,Erik Poppe,1 h 57 m,Drama
The Perfect Find,2023-06-23,5.4,5,Numa Perrier,1 h 39 m,Comedy
Brighton Rock,2011-08-26,5.8,12,Rowan Joffe,1 h 51 m,Crime
High School Musical 3: Senior Year,2008-10-24,6.3,105,Kenny Ortega,1 h 52 m,Comedy
Somebody I Used to Know,2023-02-10,4.7,18,Dave Franco,1 h 46 m,Comedy
The Great New Wonderful,2006-06-23,7.8,4,Danny Leiner,1 h 28 m,Comedy
The People Under the Stairs,1991-11-01,7.6,46,Wes Craven,1 h 42 m,Comedy
The Munsters,2022-09-27,5.0,29,Rob Zombie,1 h 49 m,Comedy
The Dinner,2017-05-05,4.7,26,Oren Moverman,2 h,Crime
Home for the Holidays,1995-11-03,7.0,14,Jodie Foster,1 h 43 m,Comedy
A Walk Among the Tombstones,2014-09-19,6.4,199,Scott Frank,1 h 54 m,Action
Morning Glory,2010-11-10,6.6,110,Roger Michell,1 h 47 m,Comedy
American Pop,1981-02-13,7.3,6,Ralph Bakshi,1 h 36 m,Animation
Viper Club,2018-10-26,5.6,5,Maryam Keshavarz,1 h 49 m,Drama
The Last Kiss,2006-09-15,6.8,14,Tony Goldwyn,1 h 44 m,Comedy
Sasayaki,2000-11-17,5.9,10,Akihiko Shiota,1 h 40 m,Drama
Up at the Villa,2000-05-05,6.6,8,Philip Haas,1 h 55 m,Drama
The Man from Elysian Fields,2002-09-27,8.1,7,George Hickenlooper,1 h 46 m,Drama
Sting,2024-04-12,5.1,19,Kiah Roache-Turner,1 h 31 m,Horror
Memoir of War,2018-08-17,6.5,4,Emmanuel Finkiel,2 h 7 m,Biography
Wrath of Man,2021-05-07,6.8,227,Guy Ritchie,1 h 59 m,Action
Jules,2023-08-11,6.3,23,Marc Turtletaub,1 h 30 m,Comedy
Mascots,2016-10-13,5.0,22,Christopher Guest,1 h 29 m,Comedy
The Ritual,2018-02-09,6.8,131,David Bruckner,1 h 34 m,Horror
Last Chance Harvey,2008-12-25,6.5,20,Joel Hopkins,1 h 33 m,Drama
Horrible Bosses,2011-07-08,7.5,587,Seth Gordon,1 h 38 m,Comedy
Mama,2013-01-18,6.4,445,Andy Muschietti,1 h 40 m,Fantasy
The Company You Keep,2013-04-05,5.8,54,Robert Redford,2 h 1 m,Drama
Not Without My Daughter,1991-01-11,5.8,6,Brian Gilbert,1 h 56 m,Drama
Cujo,1983-08-12,6.8,38,Lewis Teague,1 h 33 m,Horror
Forks Over Knives,2011-05-06,7.7,16,Lee Fulkerson,1 h 36 m,Documentary
Them That Follow,2019-08-02,5.8,14,"Britt Poulton 
    
      Dan Madison Savage",1 h 38 m,Drama
Antibodies,2007-02-16,7.0,4,Christian Alvart,2 h 7 m,Crime
Proxy,2014-04-18,4.8,9,Zack Parker,2 h,Horror
Galveston,2018-10-19,5.5,28,Mélanie Laurent,1 h 31 m,Action
Michael Jordan to the Max,2000-05-05,1.9,9,"Don Kempf 
    
      James D. Stern",46 m,Documentary
Bread and Roses,2001-05-11,5.4,5,Ken Loach,1 h 50 m,Drama
Dark Blue,2003-02-21,7.6,28,Ron Shelton,1 h 58 m,Crime
Flash of Genius,2008-10-03,6.9,10,Marc Abraham,1 h 59 m,Biography
You've Been Trumped,2012-08-03,6.0,7,Anthony Baxter,1 h 35 m,Documentary
It's Complicated,2009-12-25,6.2,73,Nancy Meyers,2 h,Comedy
Back to the Future Part II,1989-11-22,8.3,568,Robert Zemeckis,1 h 48 m,Adventure
The Strange Ones,2018-01-05,5.7,9,"Christopher Radcliff 
    
      Lauren Wolkstein",1 h 21 m,Crime
little man,2005-10-28,7.3,117,Keenen Ivory Wayans,1 h 38 m,Comedy
I Origins,2014-07-18,7.4,122,Mike Cahill,1 h 46 m,Drama
Unfinished Song,2013-06-21,6.8,13,Paul Andrew Williams,1 h 33 m,Comedy
Casanova,2005-12-25,7.6,63,Lasse Hallström,1 h 52 m,Adventure
War Dogs,2016-08-19,7.8,365,Todd Phillips,1 h 54 m,Biography
American Gigolo,1980-02-01,4.1,26,Paul Schrader,1 h 57 m,Crime
The Equalizer,2014-09-26,7.0,486,Antoine Fuqua,2 h 12 m,Action
Jack Ryan: Shadow Recruit,2014-01-17,5.9,240,Kenneth Branagh,1 h 45 m,Action
Sherlock Holmes,2009-12-25,7.7,558,Guy Ritchie,2 h 8 m,Action
Immaculate,2024-03-22,6.1,90,Michael Mohan,1 h 29 m,Horror
Viral: Antisemitism in Four Mutations,2020-02-21,2.0,4,Andrew Goldberg,Not Rated,Documentary
The Intervention,2016-08-26,5.7,10,Clea DuVall,1 h 30 m,Comedy
Brotherhood of the Wolf,2002-01-11,7.3,46,Christophe Gans,2 h 22 m,Action
Cecil B. DeMented,2000-08-11,6.1,14,John Waters,1 h 27 m,Comedy
The First Grader,2011-05-13,7.3,10,Justin Chadwick,2 h,Biography
Settlers,2021-07-23,4.6,14,Wyatt Rockefeller,1 h 43 m,Drama
Opal Dream,2006-11-22,7.3,4,Peter Cattaneo,1 h 26 m,Drama
Combat Obscura,2019-03-15,7.3,6,Miles Lagoze,"
        http://combatobscura.oscilloscope.net/
        ",Documentary
Date and Switch,2014-02-14,6.1,21,Chris Nelson,1 h 31 m,Comedy
The Kingdom,2007-09-28,6.5,76,Peter Berg,1 h 50 m,Action
Extraction,2020-04-24,3.9,21,Steven C. Miller,1 h 23 m,Action
3 Hearts,2015-03-13,5.5,4,Benoît Jacquot,1 h 46 m,Drama
Save Me,2008-09-05,4.5,12,Robert Cary,1 h 36 m,Drama
A Very Brady Sequel,1996-08-23,5.9,7,Arlene Sanford,1 h 30 m,Comedy
Escape from Pretoria,2020-03-06,6.8,44,Francis Annan,1 h 46 m,Biography
Minions: The Rise of Gru,2022-07-01,7.5,258,"Kyle Balda 
    
      Brad Ableson 
    
      Jonathan del Val",1 h 27 m,Animation
Buffalo Soldiers,2003-07-25,7.8,37,Gregor Jordan,1 h 38 m,Comedy
Infinite Storm,2022-03-25,5.6,28,Malgorzata Szumowska,1 h 44 m,Drama
Perfume: The Story of a Murderer,2006-12-29,7.6,140,Tom Tykwer,2 h 27 m,Crime
Rising Sun,1993-07-30,6.9,16,Philip Kaufman,2 h 9 m,Action
The Commuter,2018-01-12,6.3,196,Jaume Collet-Serra,1 h 45 m,Action
G.B.F.,2014-01-17,7.9,33,Darren Stein,1 h 32 m,Comedy
Pump,2014-09-19,1.0,6,"Joshua Tickell 
    
      Rebecca Harrell Tickell",1 h 28 m,Documentary
I Am Michael,2017-01-27,4.8,16,Justin Kelly,1 h 38 m,Biography
Leaving,2010-10-01,7.1,7,Catherine Corsini,1 h 25 m,Crime
The Lizzie McGuire Movie,2003-05-02,8.0,29,Jim Fall,1 h 34 m,Adventure
The Corruptor,1999-03-12,2.2,29,James Foley,1 h 50 m,Action
Die Another Day,2002-11-22,7.6,375,Lee Tamahori,2 h 13 m,Action
Excalibur,1981-04-10,7.7,25,John Boorman,2 h 20 m,Adventure
The Driver,1978-07-28,6.3,12,Walter Hill,1 h 31 m,Action
7 Chinese Brothers,2015-08-28,5.1,8,Bob Byington,1 h 16 m,Comedy
Dark Blue World,2001-12-28,4.4,9,Jan Sverák,1 h 52 m,War
Citizen Gangster,2012-04-27,5.4,8,Nathan Morlando,1 h 45 m,Crime
Wine Country,2019-05-08,4.8,35,Amy Poehler,1 h 43 m,Adventure
The Last Vermeer,2020-11-20,7.0,9,Dan Friedkin,1 h 58 m,Drama
The Funhouse,1981-03-13,7.8,76,Tobe Hooper,1 h 36 m,Horror
Scream 3,2000-02-04,7.9,648,Wes Craven,1 h 56 m,Horror
Concussion,2013-10-04,5.3,10,Stacie Passon,1 h 36 m,Drama
Concussion,2015-12-25,5.3,10,Stacie Passon,1 h 36 m,Drama
