Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
Days,2021-08-13,4.8,4,Ming-liang Tsai,2 h 7 m,Drama
The Act of Killing,2013-07-19,8.3,134,"Joshua Oppenheimer 
    
      Christine Cynn 
    
      Anonymous",1 h 55 m,Documentary
De Humani Corporis Fabrica,2023-04-14,6.4,11,"Lucien Castaing-Taylor 
    
      Verena Paravel",1 h 58 m,Documentary
Maborosi,1997-03-21,8.0,17,Hirokazu Koreeda,1 h 50 m,Drama
Beauty and the Beast (re-release),2002-08-16,7.8,38,"Jean Cocteau 
    
      René Clément",1 h 33 m,Drama
E.T. The Extra-Terrestrial,1982-06-11,8.2,610,Steven Spielberg,1 h 55 m,Adventure
Never Rarely Sometimes Always,2020-03-13,0.9,1997,Eliza Hittman,1 h 41 m,Drama
Annie Hall,1977-04-20,6.8,234,Woody Allen,1 h 33 m,Comedy
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,9.0,2657,Peter Jackson,2 h 58 m,Action
Quiz Show,1994-09-14,8.4,125,Robert Redford,2 h 13 m,Biography
Leviathan,2014-12-25,6.0,28,"Lucien Castaing-Taylor 
    
      Verena Paravel",1 h 27 m,Documentary
Leviathan,2013-03-01,6.0,28,"Lucien Castaing-Taylor 
    
      Verena Paravel",1 h 27 m,Documentary
Leviathan,1989-03-17,6.0,28,"Lucien Castaing-Taylor 
    
      Verena Paravel",1 h 27 m,Documentary
Menus Plaisirs - Les Troisgros,2023-11-22,8.9,11,Frederick Wiseman,4 h,Documentary
Werckmeister Harmonies,2001-10-10,7.9,65,"Béla Tarr 
    
      Ágnes Hranitzky",2 h 25 m,Drama
Le Cercle Rouge (1970),2003-01-10,8.0,35,Jean-Pierre Melville,2 h 20 m,Crime
Toy Story 3,2010-06-18,8.7,1801,Lee Unkrich,1 h 43 m,Animation
The Souvenir,2019-05-17,6.3,99,Joanna Hogg,2 h,Drama
This Is Spinal Tap,1984-03-02,7.9,132,Rob Reiner,1 h 22 m,Comedy
Goodfellas,1990-09-01,8.7,1266,Martin Scorsese,2 h 26 m,Biography
The Zone of Interest,2023-12-15,7.2,207,Jonathan Glazer,1 h 45 m,Drama
The Look of Silence,2015-07-17,8.3,90,Joshua Oppenheimer,1 h 43 m,Documentary
Tower,2016-10-12,8.0,56,Keith Maitland,1 h 36 m,Documentary
Burning,2018-10-26,7.8,219,Lee Chang-dong,2 h 28 m,Drama
Drive My Car,2021-11-24,7.5,160,Ryûsuke Hamaguchi,2 h 59 m,Drama
Moolaadé,2004-10-15,8.8,13,Ousmane Sembene,2 h 4 m,Drama
A Summer's Tale,2014-06-20,7.9,18,Éric Rohmer,1 h 53 m,Comedy
Saint Omer,2023-01-13,5.1,39,Alice Diop,2 h 2 m,Drama
Atanarjuat: The Fast Runner,2002-06-07,8.3,19,Zacharias Kunuk,2 h 52 m,Drama
L.A. Confidential,1997-09-19,8.6,612,Curtis Hanson,2 h 18 m,Crime
Time,2020-10-09,6.9,12,Kim Ki-duk,1 h 37 m,Drama
Time,2007-07-13,6.9,12,Kim Ki-duk,1 h 37 m,Drama
Three Colors: White,1994-06-10,8.0,68,Krzysztof Kieslowski,1 h 31 m,Comedy
Gavagai,2018-08-03,7.0,6,Rob Tregenza,1 h 30 m,Drama
Breaking Away,1979-07-20,8.0,23,Peter Yates,1 h 41 m,Comedy
Lost in Translation,2003-09-12,8.0,628,Sofia Coppola,1 h 42 m,Comedy
After Life,1999-05-12,6.9,15,Hirokazu Koreeda,1 h 58 m,Drama
Son of Saul,2015-12-18,7.3,169,László Nemes,1 h 47 m,Drama
Little Women,2019-12-25,7.6,78,Gillian Armstrong,1 h 55 m,Drama
Little Women,1994-12-21,7.6,78,Gillian Armstrong,1 h 55 m,Drama
Little Women,2018-09-28,7.6,78,Gillian Armstrong,1 h 55 m,Drama
Monty Python and the Holy Grail,1975-04-14,8.5,454,"Terry Gilliam 
    
      Terry Jones",1 h 31 m,Adventure
The Triplets of Belleville,2003-11-26,7.7,95,Sylvain Chomet,1 h 18 m,Animation
The Man Who Would Be King,1975-12-16,7.4,28,John Huston,2 h 9 m,Adventure
Flee,2021-12-03,7.9,64,Jonas Poher Rasmussen,1 h 29 m,Documentary
EX LIBRIS: The New York Public Library,2017-09-13,7.7,14,Frederick Wiseman,3 h 17 m,Documentary
The Texas Chain Saw Massacre,1974-10-01,7.8,219,Tobe Hooper,1 h 23 m,Horror
Tótem,2024-01-26,7.6,31,Lila Avilés,1 h 35 m,Drama
Repulsion (re-release),2006-04-21,7.4,100,Roman Polanski,1 h 45 m,Drama
Stories We Tell,2013-05-10,7.9,57,Sarah Polley,1 h 48 m,Documentary
The Boy and the Heron,2023-11-22,7.8,309,Hayao Miyazaki,2 h 4 m,Animation
A Bread Factory Part One: For the Sake of Gold,2018-10-26,7.7,6,Patrick Wang,2 h 2 m,Comedy
Jafar Panahi's Taxi,2015-10-02,7.0,75,Jafar Panahi,1 h 22 m,Comedy
Ida,2014-05-02,7.5,217,Pawel Pawlikowski,1 h 22 m,Drama
All the Beauty and the Bloodshed,2022-11-23,8.9,54,Laura Poitras,1 h 53 m,Documentary
Beau Travail,2000-03-31,7.2,33,Claire Denis,1 h 30 m,Drama
Her,2013-12-18,8.6,1821,Spike Jonze,2 h 6 m,Drama
Waltz with Bashir,2008-12-25,7.8,113,Ari Folman,1 h 30 m,Documentary
Hit the Road,2022-04-22,7.3,25,Panah Panahi,"
        https://www.kinolorber.com/film/hit-the-road
        ",Comedy
"This Is Not a Burial, It's a Resurrection",2021-04-02,6.7,13,Lemohang Jeremiah Mosese,2 h,Drama
They Shall Not Grow Old,2018-12-17,8.5,101,Peter Jackson,1 h 39 m,Documentary
The Favourite,2018-11-23,7.8,555,Yorgos Lanthimos,1 h 59 m,Biography
The Sweet Hereafter,1997-11-21,7.8,51,Atom Egoyan,1 h 52 m,Drama
The Right Stuff,1983-10-21,8.0,35,Philip Kaufman,3 h 13 m,Adventure
Nostalgia for the Light,2011-03-18,8.1,20,Patricio Guzmán,1 h 30 m,Documentary
The Gatekeepers,2013-02-01,6.7,34,Dror Moreh,1 h 41 m,Documentary
Before Sunset,2004-07-02,8.7,362,Richard Linklater,1 h 20 m,Drama
La Chimera,2024-03-29,7.2,38,Alice Rohrwacher,2 h 10 m,Adventure
The Worst Person in the World,2022-02-04,7.7,151,Joachim Trier,2 h 1 m,Comedy
Saving Private Ryan,1998-07-24,8.8,1327,Steven Spielberg,2 h 49 m,Drama
Licorice Pizza,2021-11-26,6.6,325,Paul Thomas Anderson,2 h 13 m,Comedy
Only Yesterday (1991),2016-01-01,8.3,130,Isao Takahata,1 h 58 m,Animation
The Crying Game,1992-11-25,7.5,77,Neil Jordan,1 h 52 m,Crime
First Cow,2020-03-06,7.0,132,Kelly Reichardt,2 h 2 m,Drama
Mad Max: Fury Road,2015-05-15,8.5,4420,George Miller,2 h,Action
Le Samouraï,1972-07-12,8.8,4,Jean-Pierre Melville,1 h 45 m,Crime
Halloween,1978-10-25,5.4,196,Rob Zombie,1 h 49 m,Horror
Halloween,2018-10-19,5.4,196,Rob Zombie,1 h 49 m,Horror
Ghost World,2001-07-20,7.7,150,Terry Zwigoff,1 h 51 m,Comedy
Winter's Bone,2010-06-11,7.5,474,Debra Granik,1 h 40 m,Crime
